TIME,2014,2015,2016,2017,2018,2019,2020,2021
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,62447.12,64283.8,64175.76,65472.24,66552.64,68497.36,65796.36,71522.48
Prov. Antwerpen,40623.04,42243.64,43107.96,44188.36,45268.76,46889.36,46457.2,50670.76
Prov. Limburg (BE),28738.64,29062.76,29602.96,30575.32,31439.64,32087.88,31547.68,34896.92
Prov. Oost-Vlaanderen,31439.64,32844.16,33492.4,34572.8,35221.04,36193.4,35653.2,39218.52
Prov. Vlaams-Brabant,37273.8,38678.32,39650.68,40623.04,41811.48,43107.96,39434.6,42999.92
Prov. West-Vlaanderen,33708.48,34572.8,35437.12,36409.48,37273.8,38570.28,38030.08,42135.6
Prov. Brabant wallon,39110.48,39866.76,41703.44,43432.08,47861.72,53587.84,50238.6,50238.6
Prov. Hainaut,22256.24,22796.44,22904.48,23552.72,24309.0,24633.12,24092.92,26577.84
Prov. Liège,25065.28,25497.44,25821.56,26577.84,27334.12,28198.44,27334.12,30251.2
Prov. Luxembourg (BE),21824.08,22364.28,22364.28,23012.52,23552.72,24309.0,23876.84,26145.68
Prov. Namur,24092.92,24417.04,24741.16,25389.4,26037.64,26469.8,26037.64,28414.52
Extra-Regio NUTS 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Severozapaden,8751.24,8751.24,9183.4,9939.68,11020.08,10912.04,11668.32,13829.12
Severen tsentralen,9831.64,9939.68,10371.84,10912.04,11560.28,11992.44,12100.48,13829.12
Severoiztochen,11452.24,11776.36,12100.48,12748.72,13505.0,13937.16,13613.04,15125.6
Yugoiztochen,11776.36,11884.4,13288.92,13937.16,13829.12,13613.04,12640.68,15773.84
Yugozapaden,21932.12,23228.6,24309.0,25713.52,27226.08,30143.16,30035.12,33600.44
Yuzhen tsentralen,9291.44,10047.72,10479.88,11128.12,11884.4,12532.64,12964.8,13288.92
Praha,55532.56,58557.68,60286.32,63419.48,67308.92,69793.84,66660.68,71090.32
Strední Cechy,22580.36,23552.72,24633.12,26253.72,26685.88,28954.72,26469.8,27766.28
Jihozápad,21716.04,22472.32,23012.52,24633.12,25605.48,26469.8,25605.48,26901.96
Severozápad,18042.68,19015.04,19015.04,20095.44,20527.6,21716.04,20527.6,21391.92
Severovýchod,20311.52,21175.84,21932.12,23768.8,24633.12,25713.52,25173.32,26361.76
Jihovýchod,22796.44,23876.84,24200.96,25713.52,27118.04,28414.52,28306.48,29927.08
Strední Morava,20311.52,21067.8,21824.08,23336.64,24200.96,25497.44,24741.16,26361.76
Moravskoslezsko,20743.68,21499.96,22148.2,23336.64,24633.12,24633.12,23336.64,25497.44
Hovedstaden,47213.48,49590.36,50130.56,53155.68,54668.24,54992.36,55640.6,62339.08
Sjælland,24957.24,26577.84,26577.84,28090.4,28954.72,29711.0,29819.04,31115.52
