TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,"57,800",,"59,500",,"59,400",,"60,600",,"61,600",,"63,400",,"60,900",p,"66,200",p
Prov. Antwerpen,"37,600",,"39,100",,"39,900",,"40,900",,"41,900",,"43,400",,"43,000",p,"46,900",p
Prov. Limburg (BE),"26,600",,"26,900",,"27,400",,"28,300",,"29,100",,"29,700",,"29,200",p,"32,300",p
Prov. Oost-Vlaanderen,"29,100",,"30,400",,"31,000",,"32,000",,"32,600",,"33,500",,"33,000",p,"36,300",p
Prov. Vlaams-Brabant,"34,500",,"35,800",,"36,700",,"37,600",,"38,700",,"39,900",,"36,500",p,"39,800",p
Prov. West-Vlaanderen,"31,200",,"32,000",,"32,800",,"33,700",,"34,500",,"35,700",,"35,200",p,"39,000",p
Prov. Brabant wallon,"36,200",,"36,900",,"38,600",,"40,200",,"44,300",,"49,600",,"46,500",p,"46,500",p
Prov. Hainaut,"20,600",,"21,100",,"21,200",,"21,800",,"22,500",,"22,800",,"22,300",p,"24,600",p
Prov. Liège,"23,200",,"23,600",,"23,900",,"24,600",,"25,300",,"26,100",,"25,300",p,"28,000",p
Prov. Luxembourg (BE),"20,200",,"20,700",,"20,700",,"21,300",,"21,800",,"22,500",,"22,100",p,"24,200",p
Prov. Namur,"22,300",,"22,600",,"22,900",,"23,500",,"24,100",,"24,500",,"24,100",p,"26,300",p
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Severozapaden,"8,100",,"8,100",,"8,500",,"9,200",,"10,200",,"10,100",,"10,800",,"12,800",
Severen tsentralen,"9,100",,"9,200",,"9,600",,"10,100",,"10,700",,"11,100",,"11,200",,"12,800",
Severoiztochen,"10,600",,"10,900",,"11,200",,"11,800",,"12,500",,"12,900",,"12,600",,"14,000",
Yugoiztochen,"10,900",,"11,000",,"12,300",,"12,900",,"12,800",,"12,600",,"11,700",,"14,600",
