Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36846.84829,37343.91296,37583.84032,38865.1882,41679.23819,42501.64155,34971.00991,42698.35987
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3470.550675,3498.125396,3591.099809,3635.564622,3724.868177,3777.972368,3621.058106,3839.470058
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2110.829568,2128.125938,2023.834656,2096.093111,2109.929296,2167.704111,2076.13838,1665.805842
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4143.177054,4075.994459,3998.951876,4045.303263,4160.540965,4264.731035,4174.504565,4409.450961
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8123.048065,7274.090475,7027.146634,7216.061373,7042.923829,6881.076241,6362.636076,6491.125578
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11259.30368,11658.8949,12078.79933,12770.98786,13498.19612,14407.46075,14035.35478,15814.41157
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45682.2462308595,38885.3760140905,39932.1644867147,40632.4843928243,42903.4435794631,41327.5020305489,37207.4938608348,42137.3272710372
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15565.99215,14055.95326,13594.67648,14052.54691,14463.36425,14634.45595,13914.58349,14793.88131
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,78859.08912,69705.70486,68853.81977,71182.37071,73259.90487,74811.69022,71374.18105,76609.198
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19683.77151,20105.19899,20307.87005,23597.11775,23290.67574,23003.27718,20763.28855,23649.6703
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10114.93984,10132.31898,10966.85333,12509.63961,13547.5314,14921.81932,14089.23938,15592.48736
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19748.62538,19674.5633,20790.41917,20777.87403,22612.88181,24007.86848,19276.56881,21010.00357
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51909.0151,53066.49099,55947.05223
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48799.71547,49865.90394,52684.01711,54172.98679,56960.09143,59756.68655,56999.93985,59552.65428
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17443.87826,14938.40113,14371.02274,14121.40694,14549.0619,15051.56128,14478.52445,15854.55084
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,728.8700603,797.0501141,766.5872206,750.7876163,758.1376112,760.4533989,750.3130621,774.5428909
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44929.68559,46200.90445,48597.39998,50442.27054,52535.23222,55753.84945,54202.52007,59387.88027
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2745.858612,2792.609645,2901.264671,2933.837384,3112.797453,3289.655169,3360.987416,3649.04065
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1637.928051,1657.916107,1833.433053,1978.155012,2100.222262,2199.116626,2208.398229,2394.705365
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3997.286701,4216.719739,4558.563895,4830.776083,5246.923588,5697.949218,5897.588948,6493.809393
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17616.95407,18391.89681,20074.26479,21469.97089,23016.0668,25170.216,25296.17616,28113.05118
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52073.98462,45900.70303,45281.30192,48929.44701,50106.7864,51869.45545,50468.2538,54256.77143
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,31761.27531,32260.82696,32341.20981,34357.27066,35564.95145,36645.82112,28119.24723,33188.73247
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11148.38783,11687.12226,12716.4099,13400.04111,14584.2302,15898.34818,15644.34166,17492.93011
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19008.06102,18095.66518,17785.9432,18356.10077,19428.00746,20092.88037,20278.47395,21698.57409
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9246.723753,9317.196836,9161.625047,8873.754025,9008.736618,9409.597799,8124.983932,9626.573571
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68775.44674,71873.22806,76362.05141,81834.95587,83368.62255,85129.07046,80286.44209,88185.46587
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6920.778861,6992.127581,7345.826843,8244.933445,8668.553853,8888.701149,8100.529346,8846.081965
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15664.80174,14692.63231,14208.16111,14477.86177,14968.85475,15304.9077,14789.87856,16031.08617
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15575.95073,15947.42152,16370.74562,16198.96216,16386.19132,16628.16857,14561.85925,15110.95733
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,80027.9853,61572.6217,55477.4694,60173.05113,61075.28206,64016.75443,64977.30631,66055.2483
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8462.798599,9303.945982,10275.16059,10986.88814,11502.15678,12295.18374,11124.66713,11983.31697
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14338.57408,13420.5066,15277.04232,14656.77299,15319.52686,15756.04378,14287.51059,16304.15336
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,670.1038234,733.7495807,787.4711684,839.6000095,875.065113,898.1373028,894.1933731,920.0784701
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49783.53283,47126.77616,52712.24896
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24922.4771,26130.66301,27749.20283,29826.24274,32000.75878,34934.33777,34762.17167,37579.79768
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,64103.01045,66020.20434,68105.15498,69103.57026,71660.20684,73716.24187,71991.24338,77140.07199
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25608.59602,24806.86723,28367.93577
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12480.33853,12897.50229,13483.37727,14243.53261,15495.54842,16652.0988,17189.28179,19338.23408
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4254.230896,4579.814769,4650.670064,4750.936451,5067.861554,5343.001606,5377.785528,5850.051925
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3369.32489,3437.789826,3559.13512,3691.094724,3821.671109,3915.051508,3866.254472,4065.31161
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,824.4124376,877.6808352,932.4051652,1023.539833,1073.289169,1104.624423,1101.250402,1179.499142
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5681.772202,4448.916586,3687.580949,4073.926085,3876.869795,3851.010258,3570.016965,3553.287985
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13390.03195,13378.67515,13971.33959,14334.91461,15161.31797,15872.30898,15117.86292,16884.67928
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2887.065504,2884.774852,3053.302585,3240.17917,3373.545867,3429.531083,3398.849344,3546.843502
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5455.468333,5696.665827,6014.305554,6320.342096,6690.56938,7123.550529,6084.456051,6716.956331
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15905.14794,16925.17941,18898.07522,20168.22048,21144.40977,22608.23216,21611.06287,22526.43573
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15957.91665,15725.92504,15493.71692,16175.34053,16645.40497,17049.11465,15873.37712,17323.61226
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24495.6341,24221.15367,23953.9408,24599.93783,24771.60103,24657.76304,20681.24467,22832.19418
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,64432.35057,65087.71734,66970.31359,69534.77191,72743.31905,75458.5687,70767.81292,74155.27789
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30171.14258,31922.34961,35878.41406,38415.10938,40676.61719,44038.86719,41421.70313,44393.76172
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,32502.47535,33899.28657,36097.70526,38824.88792,41135.49298,44203.96731,42716.45785,45719.0388
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47011.55109,47609.781,50579.68393,53071.45557,55235.3663,57399.01117,55854.36366,58290.73692
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3897.114312,4144.97437,4263.133406,4451.683846,4699.019074,4969.34926,5014.237415,5397.679018
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11179.86614,11327.08141,12159.62077,11511.60642,12132.38264,12918.56411,10817.4239,11950.55716
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47901.44736,49045.33919,51976.00571,55356.68078,57482.9624,60094.3935,60979.84817,64688.59555
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13321.76707,14564.94695,15911.15439,16524.53384,17901.81933,18937.96314,17686.75904,20462.51713
